  0.08	29	29	U	0	unclassified
 99.92	35284	0	R	1	root
 99.92	35284	2	R1	131567	  cellular organisms
 99.61	35175	2797	D	2759	    Eukaryota
 63.90	22564	7	K	33090	      Viridiplantae
 62.87	22202	0	P	35493	        Streptophyta
 62.87	22202	0	P1	131221	          Streptophytina
 62.87	22202	2	P2	3193	            Embryophyta
 62.86	22196	0	P3	58023	              Tracheophyta
 62.86	22196	0	P4	78536	                Euphyllophyta
 62.86	22196	0	P5	58024	                  Spermatophyta
 62.86	22196	0	P6	3398	                    Magnoliophyta
 62.86	22196	1707	P7	1437183	                      Mesangiospermae
 54.24	19153	0	P8	71240	                        eudicotyledons
 54.24	19153	0	P9	91827	                          Gunneridae
 54.24	19153	467	P10	1437201	                            Pentapetalae
 51.39	18147	30	P11	71275	                              rosids
 33.65	11883	49	P12	91836	                                malvids
 30.78	10868	0	O	3699	                                  Brassicales
 30.78	10868	0	F	3700	                                    Brassicaceae
 30.77	10867	0	F1	981071	                                      Brassiceae
 30.77	10867	43	G	3705	                                        Brassica
 29.33	10358	10358	S	3711	                                          Brassica rapa
  1.05	372	372	S	3708	                                          Brassica napus
  0.27	94	0	S	3712	                                          Brassica oleracea
  0.27	94	94	S1	109376	                                            Brassica oleracea var. oleracea
  0.00	1	0	F1	980083	                                      Camelineae
  0.00	1	0	G	71323	                                        Camelina
  0.00	1	1	S	90675	                                          Camelina sativa
  2.74	966	0	O	41938	                                  Malvales
  2.74	966	0	F	3629	                                    Malvaceae
  2.74	966	0	F1	214907	                                      Malvoideae
  2.74	966	171	G	3633	                                        Gossypium
  1.48	522	522	S	3635	                                          Gossypium hirsutum
  0.71	251	251	S	29729	                                          Gossypium arboreum
  0.06	22	22	S	29730	                                          Gossypium raimondii
 17.65	6233	0	P12	91835	                                fabids
 17.14	6054	0	O	72025	                                  Fabales
 17.14	6054	0	F	3803	                                    Fabaceae
 17.14	6054	0	F1	3814	                                      Papilionoideae
 17.14	6054	17	F2	2231393	                                        50 kb inversion clade
 16.84	5945	0	F3	2231382	                                          NPAAA clade
 16.79	5929	0	F4	2233855	                                            indigoferoid/millettioid clade
 16.79	5929	0	F5	163735	                                              Phaseoleae
 16.78	5924	0	G	3913	                                                Vigna
 16.77	5923	5923	S	3914	                                                  Vigna angularis
  0.00	1	1	S	3917	                                                  Vigna unguiculata
  0.01	4	0	G	3883	                                                Phaseolus
  0.01	4	4	S	3885	                                                  Phaseolus vulgaris
  0.00	1	0	G	3820	                                                Cajanus
  0.00	1	1	S	3821	                                                  Cajanus cajan
  0.05	16	0	F4	2233838	                                            Hologalegina
  0.05	16	0	F5	2233839	                                              IRL clade
  0.04	14	0	F6	163742	                                                Trifolieae
  0.04	14	0	G	3877	                                                  Medicago
  0.04	14	14	S	3880	                                                    Medicago truncatula
  0.01	2	0	F6	163722	                                                Cicereae
  0.01	2	0	G	3826	                                                  Cicer
  0.01	2	2	S	3827	                                                    Cicer arietinum
  0.23	82	0	F3	2231387	                                          dalbergioids sensu lato
  0.23	82	0	F4	163725	                                            Dalbergieae
  0.23	82	0	F5	2231390	                                              Pterocarpus clade
  0.23	82	19	G	3817	                                                Arachis
