ID	4A.kraken.report
d__Bacteria	107
d__Bacteria|p__Actinobacteria	1
d__Bacteria|p__Actinobacteria|c__Actinobacteria	1
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	1
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Cellulomonadaceae	1
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Cellulomonadaceae|g__Cellulomonas	1
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Cellulomonadaceae|g__Cellulomonas|s__Cellulomonas gilvus	1
d__Bacteria|p__Bacteroidetes	1
d__Bacteria|p__Bacteroidetes|c__Bacteroidia	1
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	1
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	1
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	1
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides ovatus	1
d__Bacteria|p__Firmicutes	2
d__Bacteria|p__Firmicutes|c__Bacilli	2
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	2
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	2
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus simulans	2
d__Bacteria|p__Proteobacteria	103
d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	70
d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	70
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	33
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella pneumoniae	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas fluorescens	2
d__Eukaryota	35175
d__Eukaryota|k__Fungi	9203
d__Eukaryota|k__Fungi|p__Ascomycota	8821
d__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	249
d__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales	249
d__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Mycosphaerellaceae	249
d__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Mycosphaerellaceae|g__Zymoseptoria	249
d__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Mycosphaerellaceae|g__Zymoseptoria|s__Zymoseptoria tritici	249
d__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	1698
d__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	1698
d__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae	1698
d__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus	1698
d__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus fumigatus	547
d__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus oryzae	1150
d__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	153
d__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales	153
d__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Sclerotiniaceae	153
